cusip,interestrate,remainingbalance,factor,gwac,wam,wala,date
3618A8NZ6,6.5,192285.36,1,6.75,479,1,2025-03-01
3618AJAQ6,6,9097948.16,1,6.564,359,1,2025-03-01
3618B5E40,5.5,1223360.08,1,5.875,357,3,2025-03-01
3618B5E73,6.5,1622694.25,1,6.871,359,1,2025-03-01
3618BDTM7,6,8741837.35,1,6.614,360,0,2025-03-01
3618BDTN5,6.5,3279587,1,6.994,360,0,2025-03-01
3618BHYX8,6.5,121328.84,1,7.125,478,2,2025-03-01
3618BWND1,6.5,195488.87,1,6.944,477,3,2025-03-01
3618BWNE9,6,164263.08,1,6.625,476,4,2025-03-01
3618F4D32,6.5,127390.92,1,7.125,477,3,2025-03-01
3618FHAJ1,6,1347957,1,6.379,360,0,2025-03-01
3618GBN34,6,427092.25,1,6.5,480,0,2025-03-01
3618GBN42,6.5,727769.52,1,6.926,480,0,2025-03-01
3618GBN59,7,360434.74,1,7.375,480,0,2025-03-01
3618GG4C4,6.5,180850.96,1,6.875,473,4,2025-03-01
3618GHUA7,6,1360096.63,1,6.549,360,0,2025-03-01
3618GSQG5,7,1489760.71,1,7.25,360,0,2025-03-01
3618GSQ42,6.5,1231539.85,1,6.75,360,0,2025-03-01
3618GSQ75,6,1056458.13,1,6.451,359,1,2025-03-01
3618GS4S3,6.5,1352297.28,1,6.854,354,6,2025-03-01
3618GS4U8,7,229879.63,1,7.25,470,10,2025-03-01
3618GS4V6,6,1031199.81,1,6.498,347,4,2025-03-01
3618GS4W4,6,1148188.66,1,6.439,355,5,2025-03-01
3618GS4X2,6,2465764.6,1,6.302,355,5,2025-03-01
3618H5WG7,7,445374.41,1,7.404,479,1,2025-03-01
3618HLJ69,6,16942364.82,1,6.643,357,1,2025-03-01
3618HLJ77,6.5,21066698.75,1,6.908,359,0,2025-03-01
3618HLJ85,6.5,23284771.61,1,7.116,359,1,2025-03-01
3618HLJ93,7,1760282.55,1,7.57,359,1,2025-03-01
3618HLKA8,6.5,10347266.15,1,6.964,359,1,2025-03-01
3618HSVE3,5.5,5410910.78,1,6.191,359,1,2025-03-01
3618HUR94,6,2362393.8,1,6.455,358,1,2025-03-01
3618HUZA2,7,209230.59,1,7.25,473,7,2025-03-01
3618HVUS6,6.5,371349.27,1,6.875,479,1,2025-03-01
3618HVUT4,7,164191.07,1,7.375,479,1,2025-03-01
3618HVUW7,6.5,1006638.37,1,7.053,360,0,2025-03-01
3618J23A7,6.5,397806.27,1,7.125,478,2,2025-03-01
3618J5KT0,6,1067275.36,1,6.352,359,1,2025-03-01
3618J5X41,5.5,2749953.42,1,5.931,354,5,2025-03-01
3618J5X58,6,1748455.31,1,6.542,360,0,2025-03-01
3618J5X66,6.5,1957274.08,1,6.9,360,0,2025-03-01
3618J7T34,6,2227056.02,1,6.554,358,2,2025-03-01
3618J7T42,6.5,1284510,1,6.942,360,0,2025-03-01
3618J7U65,7,3745994.54,1,7.367,358,1,2025-03-01
3618J7U99,5.5,2638894.88,1,6.197,359,1,2025-03-01
3618J7VA5,6,21218619.11,1,6.581,359,0,2025-03-01
3618J83P1,4.5,1963461,1,4.846,360,0,2025-03-01
3618J83Q9,5,2120868.06,1,5.25,348,0,2025-03-01
3618J83R7,5.5,3716088,1,5.773,360,0,2025-03-01
3618J83S5,4.5,2491469,1,4.781,342,0,2025-03-01
3618J83T3,5,2040937,1,5.25,360,0,2025-03-01
3618J83U0,5,2057643,1,5.271,360,0,2025-03-01
3618JAMX8,6,1246749.61,1,6.631,358,2,2025-03-01
3618JAMY6,6,2372607.65,1,6.639,358,2,2025-03-01
3618JAM26,6.5,1160926.14,1,6.998,358,2,2025-03-01
3618JAM34,6.5,5087215.31,1,7.116,358,2,2025-03-01
3618JAM59,7,1087805.12,1,7.475,355,3,2025-03-01
3618JAM67,7,1915599.68,1,7.438,356,4,2025-03-01
3618JAM75,7,2385726.53,1,7.417,357,2,2025-03-01
3618JAM83,7,1444203.02,1,7.45,359,1,2025-03-01
3618JAM91,7,5563681.88,1,7.439,358,2,2025-03-01
3618JFTS1,6.5,4026524.26,1,6.759,359,0,2025-03-01
3618JFTT9,5.5,2992746.09,1,5.75,360,0,2025-03-01
3618JFTU6,6,4082668.84,1,6.325,356,0,2025-03-01
3618JHWH7,4,3936376,1,4.75,353,0,2025-03-01
3618JHWJ3,5,2301678.24,1,5.636,347,0,2025-03-01
3618JH2U1,7,834273.13,1,7.375,358,2,2025-03-01
3618JH2V9,7,1047988.33,1,7.375,356,2,2025-03-01
3618JJYW8,6,1045260.52,1,6.607,360,0,2025-03-01
3618JLDH9,5.5,1725053.15,1,5.901,359,1,2025-03-01
3618JLDX4,5.5,1252996.32,1,6.032,359,1,2025-03-01
3618JLDZ9,5.5,1008597.15,1,6.25,359,1,2025-03-01
3618JLD55,5.5,1171409.92,1,6.061,359,1,2025-03-01
3618JLD63,5.5,1107356.07,1,6.25,359,1,2025-03-01
3618JLD71,5.5,1436960.54,1,6.046,349,1,2025-03-01
3618JLD89,6,2572479.79,1,6.671,359,1,2025-03-01
3618JLD97,6,1985002.9,1,6.574,359,1,2025-03-01
3618JLEA3,6,1563403.71,1,6.62,359,1,2025-03-01
3618JLEB1,6,2374854.69,1,6.677,359,1,2025-03-01
3618JLEC9,6,1554533.67,1,6.626,359,1,2025-03-01
3618JLED7,6.5,1293436.52,1,7.117,359,1,2025-03-01
3618JLEE5,6.5,1451539.3,1,7.187,359,1,2025-03-01
3618JLEF2,6.5,2560969.87,1,7.175,359,1,2025-03-01
3618JLEG0,6,1133674.36,1,6.687,359,1,2025-03-01
3618JLEH8,6,1802241.41,1,6.677,359,1,2025-03-01
3618JLEJ4,6,2032405.35,1,6.498,360,0,2025-03-01
3618JLEK1,6.5,1305652.53,1,6.814,359,1,2025-03-01
3618JLEL9,6.5,1078598.93,1,7.224,359,1,2025-03-01
3618JLEM7,6.5,1142904.32,1,6.996,358,1,2025-03-01
3618JLEN5,5.5,1042067.14,1,5.901,357,1,2025-03-01
3618JLEP0,5.5,1163224.79,1,5.952,359,1,2025-03-01
3618JLEQ8,6,1672477.24,1,6.639,351,0,2025-03-01
3618JLER6,6,1550557,1,6.7,360,0,2025-03-01
3618JLES4,6,1009745.39,1,6.662,360,0,2025-03-01
3618JLET2,6.5,1543567.44,1,7.185,360,0,2025-03-01
3618JLEU9,6.5,1248784.27,1,7.25,360,0,2025-03-01
3618JLEV7,6,156533.06,1,6.75,477,3,2025-03-01
3618JLEW5,6.5,583490.68,1,7,477,3,2025-03-01
3618JLEX3,6,1718918.7,1,6.665,359,1,2025-03-01
3618JLEY1,6,1895154.49,1,6.608,360,0,2025-03-01
3618JLEZ8,6,2872889.22,1,6.649,360,0,2025-03-01
3618JLE21,6,4309198,1,6.608,360,0,2025-03-01
3618JLE39,6,3702082.18,1,6.647,360,0,2025-03-01
3618JLE47,6,1053704.94,1,6.708,360,0,2025-03-01
3618JLE54,6,1006949.63,1,6.73,360,0,2025-03-01
3618JLE62,6,1104847.73,1,6.547,360,0,2025-03-01
3618JLE70,6,1326096.02,1,6.608,359,1,2025-03-01
3618JLE88,6,1022074.02,1,6.678,360,0,2025-03-01
3618JLE96,6,1189271.46,1,6.623,359,1,2025-03-01
3618JLFA2,6,1066306.91,1,6.559,359,1,2025-03-01
3618JLFB0,6,1445136.71,1,6.599,360,0,2025-03-01
3618JLFC8,6,1248989,1,6.719,360,0,2025-03-01
3618JLFD6,6.5,1536359,1,7.175,360,0,2025-03-01
3618JLLQ0,5.5,7504514.61,1,5.781,359,1,2025-03-01
3618JLLR8,5.5,1983431.12,1,6,360,0,2025-03-01
3618JLLS6,6,3754874.67,1,6.27,359,1,2025-03-01
3618JLLT4,6,1611719.37,1,6.5,352,0,2025-03-01
3618JLLU1,6.5,3240797.69,1,6.822,359,1,2025-03-01
