cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618A8NZ6,CQ5808,C,ET,20250301,20650220,192285,False
3618AJAQ6,CR3615,C,SF,20250301,20550320,9097948,False
3618B5E40,CT0155,C,SF,20250301,20541220,1223360,False
3618B5E73,CT0158,C,SF,20250301,20550320,1622694,False
3618BDTM7,CT7756,C,SF,20250301,20550320,8741837,False
3618BDTN5,CT7757,C,SF,20250301,20550320,3279587,False
3618BHYX8,CU0726,C,ET,20250301,20650120,121328,False
3618BWND1,CV1288,C,ET,20250301,20650120,195488,False
3618BWNE9,CV1289,C,ET,20250301,20641120,164263,False
3618F4D32,CV7322,C,ET,20250301,20641220,127390,False
3618FHAJ1,CW8109,C,SF,20250301,20550320,1347957,False
3618GBN34,CZ0410,C,ET,20250301,20650320,427092,False
3618GBN42,CZ0411,C,ET,20250301,20650320,727769,False
3618GBN59,CZ0412,C,ET,20250301,20650320,360434,False
3618GG4C4,CZ5319,C,ET,20250301,20641120,180850,False
3618GHUA7,CZ5977,C,SF,20250301,20550320,1360096,False
3618GSQG5,DA3155,C,SF,20250301,20550320,1489760,False
3618GSQ42,DA3175,C,SF,20250301,20550320,1231539,False
3618GSQ75,DA3178,C,SF,20250301,20550320,1056458,False
3618GS4S3,DA3533,C,SF,20250301,20541120,1352297,False
3618GS4U8,DA3535,C,ET,20250301,20640520,229879,False
3618GS4V6,DA3536,C,SF,20250301,20541220,1031199,False
3618GS4W4,DA3537,C,SF,20250301,20541120,1148188,False
3618GS4X2,DA3538,C,SF,20250301,20541220,2465764,False
3618H5WG7,DB3347,C,ET,20250301,20650220,445374,False
3618HLJ69,DC5685,C,SF,20250301,20550320,16942364,False
3618HLJ77,DC5686,C,SF,20250301,20550320,21066698,False
3618HLJ85,DC5687,C,SF,20250301,20550320,23284771,False
3618HLJ93,DC5688,C,SF,20250301,20550320,1760282,False
3618HLKA8,DC5689,C,SF,20250301,20550320,10347266,False
3618HSVE3,DD0613,C,SF,20250301,20550320,5410910,False
3618HUR94,DD2312,C,SF,20250301,20550320,2362393,False
3618HUZA2,DD2537,C,ET,20250301,20640820,209230,False
3618HVUS6,DD3293,C,ET,20250301,20650220,371349,False
3618HVUT4,DD3294,C,ET,20250301,20650220,164191,False
3618HVUW7,DD3297,C,SF,20250301,20550320,1006638,False
3618J23A7,DD8893,C,ET,20250301,20650120,397806,False
3618J5KT0,DE0306,C,SF,20250301,20550320,1067275,False
3618J5X41,DE0699,C,SF,20250301,20541120,2749953,False
3618J5X58,DE0700,C,SF,20250301,20550320,1748455,False
3618J5X66,DE0701,C,SF,20250301,20550320,1957274,False
3618J7T34,DE2370,C,SF,20250301,20550320,2227056,False
3618J7T42,DE2371,C,SF,20250301,20550320,1284510,False
3618J7U65,DE2405,C,SF,20250301,20550220,3745994,False
3618J7U99,DE2408,C,SF,20250301,20550320,2638894,False
3618J7VA5,DE2409,C,SF,20250301,20550320,21218619,False
3618J83P1,DE3506,C,SF,20250301,20550320,1963461,False
3618J83Q9,DE3507,C,SF,20250301,20550320,2120868,False
3618J83R7,DE3508,C,SF,20250301,20550320,3716088,False
3618J83S5,DE3509,C,SF,20250301,20550320,2491469,False
3618J83T3,DE3510,C,SF,20250301,20550320,2040937,False
3618J83U0,DE3511,C,SF,20250301,20550320,2057643,False
3618JAMX8,DE4874,C,SF,20250301,20550120,1246749,False
3618JAMY6,DE4875,C,SF,20250301,20550220,2372607,False
3618JAM26,DE4877,C,SF,20250301,20550220,1160926,False
3618JAM34,DE4878,C,SF,20250301,20550220,5087215,False
3618JAM59,DE4880,C,SF,20250301,20550220,1087805,False
3618JAM67,DE4881,C,SF,20250301,20550220,1915599,False
3618JAM75,DE4882,C,SF,20250301,20550220,2385726,False
3618JAM83,DE4883,C,SF,20250301,20550220,1444203,False
3618JAM91,DE4884,C,SF,20250301,20550220,5563681,False
3618JFTS1,DE9561,C,SF,20250301,20550320,4026524,False
3618JFTT9,DE9562,C,SF,20250301,20550320,2992746,False
3618JFTU6,DE9563,C,SF,20250301,20550320,4082668,False
3618JHWH7,DF0648,C,SF,20250301,20550320,3936376,False
3618JHWJ3,DF0649,C,SF,20250301,20550320,2301678,False
3618JH2U1,DF0787,C,SF,20250301,20550220,834273,False
3618JH2V9,DF0788,C,SF,20250301,20550320,1047988,False
3618JJYW8,DF1625,C,SF,20250301,20550320,1045260,False
3618JLDH9,DF2804,C,SF,20250301,20550320,1725053,False
3618JLDX4,DF2818,C,SF,20250301,20550320,1252996,False
3618JLDZ9,DF2820,C,SF,20250301,20550320,1008597,False
3618JLD55,DF2824,C,SF,20250301,20550320,1171409,False
3618JLD63,DF2825,C,SF,20250301,20550220,1107356,False
3618JLD71,DF2826,C,SF,20250301,20550320,1436960,False
3618JLD89,DF2827,C,SF,20250301,20550320,2572479,False
3618JLD97,DF2828,C,SF,20250301,20550320,1985002,False
3618JLEA3,DF2829,C,SF,20250301,20550320,1563403,False
3618JLEB1,DF2830,C,SF,20250301,20550320,2374854,False
3618JLEC9,DF2831,C,SF,20250301,20550320,1554533,False
3618JLED7,DF2832,C,SF,20250301,20550320,1293436,False
3618JLEE5,DF2833,C,SF,20250301,20550220,1451539,False
3618JLEF2,DF2834,C,SF,20250301,20550320,2560969,False
3618JLEG0,DF2835,C,SF,20250301,20550320,1133674,False
3618JLEH8,DF2836,C,SF,20250301,20550220,1802241,False
3618JLEJ4,DF2837,C,SF,20250301,20550320,2032405,False
3618JLEK1,DF2838,C,SF,20250301,20550320,1305652,False
3618JLEL9,DF2839,C,SF,20250301,20550320,1078598,False
3618JLEM7,DF2840,C,SF,20250301,20550320,1142904,False
3618JLEN5,DF2841,C,SF,20250301,20550220,1042067,False
3618JLEP0,DF2842,C,SF,20250301,20550320,1163224,False
3618JLEQ8,DF2843,C,SF,20250301,20550320,1672477,False
3618JLER6,DF2844,C,SF,20250301,20550320,1550557,False
3618JLES4,DF2845,C,SF,20250301,20550320,1009745,False
3618JLET2,DF2846,C,SF,20250301,20550320,1543567,False
3618JLEU9,DF2847,C,SF,20250301,20550320,1248784,False
3618JLEV7,DF2848,C,ET,20250301,20641220,156533,False
3618JLEW5,DF2849,C,ET,20250301,20641220,583490,False
3618JLEX3,DF2850,C,SF,20250301,20550320,1718918,False
3618JLEY1,DF2851,C,SF,20250301,20550320,1895154,False
3618JLEZ8,DF2852,C,SF,20250301,20550320,2872889,False
3618JLE21,DF2853,C,SF,20250301,20550320,4309198,False
3618JLE39,DF2854,C,SF,20250301,20550320,3702082,False
3618JLE47,DF2855,C,SF,20250301,20550320,1053704,False
3618JLE54,DF2856,C,SF,20250301,20550320,1006949,False
3618JLE62,DF2857,C,SF,20250301,20550320,1104847,False
3618JLE70,DF2858,C,SF,20250301,20550320,1326096,False
3618JLE88,DF2859,C,SF,20250301,20550320,1022074,False
3618JLE96,DF2860,C,SF,20250301,20550320,1189271,False
3618JLFA2,DF2861,C,SF,20250301,20550320,1066306,False
3618JLFB0,DF2862,C,SF,20250301,20550320,1445136,False
3618JLFC8,DF2863,C,SF,20250301,20550320,1248989,False
3618JLFD6,DF2864,C,SF,20250301,20550320,1536359,False
3618JLLQ0,DF3035,C,SF,20250301,20550320,7504514,False
3618JLLR8,DF3036,X,SF,20250301,20550315,1983431,True
3618JLLS6,DF3037,C,SF,20250301,20550320,3754874,False
3618JLLT4,DF3038,X,SF,20250301,20550315,1611719,True
3618JLLU1,DF3039,C,SF,20250301,20550320,3240797,False
3618JPJY7,DF5679,C,SF,20250301,20550320,1078319,False
3618JPKF6,DF5694,C,SF,20250301,20550320,1208479,False
3618JPKG4,DF5695,C,SF,20250301,20550320,1764831,False
3618JPKH2,DF5696,C,ET,20250301,20620520,181572,False
3618JPKM1,DF5700,C,ET,20250301,20650220,121474,False
3618JQCW6,DF6385,C,ET,20250301,20650120,306946,False
3618JQGX0,DF6514,C,SF,20250301,20550320,1120840,False
3618JQHC5,DF6527,C,SF,20250301,20550320,1076462,False
3618JQHU5,DF6543,C,SF,20250301,20550320,1012960,False
3618JQX60,DF7001,C,BD,20250301,20550220,14692595,False
3618JQX78,DF7002,C,SF,20250301,20550320,2478805,False
3618JRN51,DF7612,C,SF,20250301,20550320,4395215,False
3618JRN69,DF7613,C,SF,20250301,20550320,5349817,False
