plate,state,timeYYYYMMDDHHMM
ABC-111,NY,202501270000
ABC-222,NY,202501270000
ABC-333,NY,202501270010
ABC-444,CT,202501270010
ABC-555,NY,202501270020
ABC-666,NY,202501270020
ABC-777,CT,202501270040
ABC-888,NY,202501270040
ABC-999,NJ,202501270050
ABC-000,PA,202501270050
DEF-111,NY,202501270100
DEF-222,NY,202501270100
DEF-333,NY,202501270110
DEF-444,CT,202501270110
DEF-555,NY,202501270120
DEF-666,NY,202501270120
DEF-777,CT,202501270140
DEF-888,NY,202501270140
DEF-999,NJ,202501270150
DEF-000,PA,202501270150
GHI-111,NY,202501270200
GHI-222,NY,202501270200
GHI-333,NY,202501270210
GHI-444,CT,202501270210
GHI-555,NY,202501270220
GHI-666,VT,202501270220
GHI-777,CT,202501270240
GHI-888,MA,202501270240
GHI-999,NJ,202501270250
GHI-000,PA,202501270250
JKL-111,NY,202501270300
JKL-222,NY,202501270300
JKL-333,NY,202501270310
JKL-444,CT,202501270310
JKL-555,NY,202501270320
JKL-666,VT,202501270320
JKL-777,CT,202501270340
JKL-888,MA,202501270340
JKL-999,NJ,202501270350
JKL-000,PA,202501270350
MNO-111,NY,202501270400
MNO-222,NY,202501270400
MNO-333,NY,202501270410
MNO-444,VA,202501270410
MNO-555,NY,202501270420
MNO-666,VT,202501270420
MNO-777,CT,202501270440
MNO-888,MA,202501270440
MNO-999,NJ,202501270450
MNO-000,PA,202501270450
PQR-111,NY,202501270500
PQR-222,NY,202501270500
PQR-333,NY,202501270510
PQR-444,VA,202501270510
PQR-555,NY,202501270520
PQR-666,VT,202501270520
PQR-777,CT,202501270540
PQR-888,MA,202501270540
PQR-999,NJ,202501270550
PQR-000,PA,202501270550
STU-111,NY,202501270600
STU-222,NY,202501270600
STU-333,NY,202501270610
STU-444,VA,202501270610
STU-555,NY,202501270620
STU-666,VT,202501270620
STU-777,CT,202501270640
STU-888,MA,202501270640
STU-999,NH,202501270650
STU-000,NH,202501270650
VWX-111,NY,202501270700
VWX-222,NY,202501270700
VWX-333,NY,202501270710
VWX-444,VA,202501270710
VWX-555,NY,202501270720
VWX-666,VT,202501270720
VWX-777,CT,202501270740
VWX-888,MA,202501270740
VWX-999,NH,202501270750
VWX-000,NH,202501270750
YZZ-111,NY,202501270800
YZZ-222,NY,202501270800
YZZ-333,NY,202501270810
YZZ-444,VA,202501270810
YZZ-555,NY,202501270820
YZZ-666,VT,202501270820
YZZ-777,CT,202501270840
YZZ-888,MA,202501270840
YZZ-999,NH,202501270850
YZZ-000,NH,202501270850
AAA-111,NY,202501270900
AAA-222,NY,202501270900
AAA-333,CT,202501270910
AAA-444,RI,202501270910
AAA-555,NY,202501270920
AAA-666,VT,202501270920
AAA-777,CT,202501270940
AAA-888,RI,202501270940
AAA-999,NH,202501270950
AAA-000,CA,202501270950
BBB-111,NY,202501271000
BBB-222,NY,202501271000
